n,perc_correct_params,perc_density_correct,perc_direction_correct,perc_correct_cat_density,RMSE_density,NRMSE_density,RMSE_burn,NRMSE_burn,point_pred_performance_density,direction_kappa,direction_f1,direction_mcc,ticks_included
99,0.1414141414141414,0.1414141414141414,0.5732323232323232,0.5429292929292929,0.5796981049374534,0.019798643753804104,0.062378496793234116,0.002130435868925784,0.6808557114088537,0.14230788947557274,0.6023529411764705,0.1424565698413118,no
198,0.12373737373737374,0.1388888888888889,0.5782828282828283,0.5277777777777778,0.5753032941121617,0.01964854615446022,0.03157223431882572,0.0010782981942946013,0.6774996633701881,0.16105952199725987,0.5662337662337662,0.16304881070660057,no
396,0.13131313131313133,0.13636363636363635,0.5328282828282829,0.4722222222222222,0.6151931866265651,0.02101092040502883,0.02486066653928642,8.490755379415231e-4,0.6438229093885075,0.06302757456387185,0.5563549160671464,0.06302838295049368,no
594,0.1414141414141414,0.15404040404040403,0.5555555555555556,0.5252525252525253,0.5903422559717348,0.02016217738034953,0.033022998146399585,0.0011278466677989943,0.6734465688714315,0.11020324788070675,0.5707317073170731,0.11025398467627331,no
792,0.13131313131313133,0.15151515151515152,0.5303030303030303,0.48737373737373735,0.5999853329500039,0.020491520954456707,0.018053797971761276,6.165980385335547e-4,0.6588341843070408,0.06251909174218499,0.5326633165829145,0.06277798323083941,no
990,0.1388888888888889,0.15151515151515152,0.5353535353535354,0.48484848484848486,0.6046384830071186,0.02065044170912046,0.027208130598101524,9.292493460486824e-4,0.6535995654384744,0.06833060556464805,0.5576923076923077,0.06833060556464812,no
1188,0.1388888888888889,0.15404040404040403,0.5681818181818182,0.4722222222222222,0.5977705322475746,0.020415878047019904,0.016342692446352426,5.581580187470646e-4,0.6606102498271946,0.1357022514933375,0.5819070904645477,0.1357872665106559,no
1386,0.1691919191919192,0.18434343434343434,0.547979797979798,0.5025252525252525,0.5800829905196456,0.019811788893425736,0.008953636954045253,3.0579687400075973e-4,0.672952372240074,0.09711112243338259,0.5536159600997508,0.09739028267918519,no
1584,0.14646464646464646,0.16161616161616163,0.5656565656565656,0.494949494949495,0.6033715597020124,0.020607172008965245,0.009267352545666319,3.1651131861532255e-4,0.6583390935123926,0.13219855264499025,0.572139303482587,0.13252958120957042,no
99,0.13383838383838384,0.13636363636363635,0.7323232323232324,0.6641414141414141,0.4648865760801538,0.01587744315074101,0.1751431513445838,0.005981728816871236,0.7751573189597648,0.46409968338269847,0.7414634146341463,0.46431335159312875,yes
198,0.15404040404040403,0.17424242424242425,0.7777777777777778,0.7424242424242424,0.4082951482304981,0.013944655187538455,0.09598701392281156,0.003278279983085723,0.815149837669624,0.5539627278312512,0.7904761904761906,0.5540766167326399,yes
396,0.20454545454545456,0.20454545454545456,0.7853535353535354,0.7247474747474747,0.36828018250682804,0.012578009265400923,0.10163793633930245,0.0034712780261215207,0.8255156864123905,0.5681736542310258,0.8018648018648017,0.5694168565218813,yes
594,0.1994949494949495,0.21212121212121213,0.7929292929292929,0.7752525252525253,0.35062838047972805,0.011975140743025924,0.08206985929240189,0.0028029622543451474,0.8361801807552782,0.5847995090016366,0.8028846153846153,0.5847995090016367,yes
792,0.18434343434343434,0.20454545454545456,0.8181818181818182,0.7803030303030303,0.35977537800708487,0.012287541532192907,0.07865127982102249,0.0026862062454477034,0.837069870942581,0.6354337152209494,0.8269230769230769,0.6354337152209493,yes
990,0.2222222222222222,0.24242424242424243,0.8207070707070707,0.7878787878787878,0.34366636547396645,0.011737364469938772,0.07765100359934973,0.0026520434417407,0.8490175985049679,0.639852436337552,0.8321513002364067,0.6402561756862244,yes
1188,0.2297979797979798,0.24242424242424243,0.8005050505050505,0.7676767676767676,0.34578444286942306,0.01180970395050367,0.09262466618630291,0.0031634444774241567,0.8406240742569369,0.6000920386562356,0.8096385542168675,0.6000997275194321,yes
1386,0.21717171717171718,0.23484848484848486,0.7878787878787878,0.7575757575757576,0.37179573445147346,0.01269807721103883,0.05859625174758556,0.0020012594551845906,0.8300576789327196,0.5753242773976099,0.7951219512195122,0.5755891526241405,yes
1584,0.21464646464646464,0.23484848484848486,0.7777777777777778,0.7626262626262627,0.3940203232074457,0.013457121809609271,0.0633058511529873,0.0021621081453157016,0.8260096771008196,0.5560085618183672,0.7810945273631842,0.557400821509797,yes
