initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,grass_regrowth
215,244,14,95,18,17,36
225,227,45,55,17,14,1
152,13,37,44,19,7,6
109,88,10,97,5,18,40
46,189,9,52,16,3,53
137,196,2,75,17,16,63
232,108,16,67,14,11,84
86,162,28,90,8,14,76
16,214,27,21,4,15,19
202,200,8,72,5,5,17
165,185,11,78,16,6,29
181,116,21,1,3,16,70
67,166,47,85,12,13,8
90,67,3,14,15,12,30
113,74,29,4,12,7,56
161,232,42,55,4,16,91
35,1,22,6,7,10,26
119,75,36,39,7,20,88
250,27,43,8,8,4,98
30,7,44,28,4,3,93
51,209,7,50,7,8,81
208,242,1,31,18,5,95
62,119,38,86,3,11,14
75,146,49,98,2,2,22
42,57,24,76,9,6,61
189,45,26,12,2,12,33
199,125,4,24,6,10,43
24,102,13,62,20,19,11
222,181,34,47,13,9,5
182,224,19,90,19,6,45
131,97,34,81,13,18,49
171,139,23,58,10,13,52
238,87,41,63,16,8,78
5,170,5,41,14,2,38
77,154,50,37,10,19,67
11,38,40,26,9,1,86
99,35,18,15,11,10,74
145,54,17,34,13,12,72
104,20,30,68,11,4,24
138,132,31,20,1,18,59
