wolves,sheep,grass,initial_number_sheep,initial_number_wolves,sheep_gain_from_food,wolves_gain_from_food,sheep_reproduce,wolves_reproduce,grass_regrowth
0,3.4688184794044217,2731.417718448149,215,244,14,95,18,17,36
43.66333920172251,0,2561.1916495138767,225,227,45,55,17,14,1
0,0,2738.631990302689,152,13,37,44,19,7,6
0,556.8296039349574,282.6681577625969,109,88,10,97,5,18,40
362.5626252818381,68.15333830975403,1215.9930421171591,46,189,9,52,16,3,53
24.603768832068045,0.8951283079530837,2503.442552321607,137,196,2,75,17,16,63
0.7297982621556662,1.5808291339636908,2690.5197308116444,232,108,16,67,14,11,84
29.31948261001387,0,2537.4245756213077,86,162,28,90,8,14,76
0.840518485701061,3330.2335640073375,175.67493183571722,16,214,27,21,4,15,19
5.336753420217382,0.7485167343174097,2944.3864915373224,202,200,8,72,5,5,17
0,0.6206107717227609,2318.285941925644,165,185,11,78,16,6,29
9.824805466469844e-4,813.7878669663282,72.62929002993172,181,116,21,1,3,16,70
20.006131517253277,12966.379356470608,365.9493931343091,67,166,47,85,12,13,8
0,166.8275888328297,740.3477015012385,90,67,3,14,15,12,30
28.13003633538639,1030.0767940992778,451.5245081746453,113,74,29,4,12,7,56
1.086442210503052,1329.8717020030049,80.66229003135555,161,232,42,55,4,16,91
0,2279.0190570378445,179.31030198701205,35,1,22,6,7,10,26
0,1652.3364830767728,102.885617220566,119,75,36,39,7,20,88
49.46355882009318,1578.0258978231752,5.802269274937341,250,27,43,8,8,4,98
13.525235882454153,190.44773638902024,2130.655283057961,30,7,44,28,4,3,93
47.59347079944106,169.81349066208205,562.6896559418079,51,209,7,50,7,8,81
10.981222077026615,0.37370133737431965,2235.3637940259655,208,242,1,31,18,5,95
2.779600779933544,7935.482574191427,318.3291257117853,62,119,38,86,3,11,14
138.70003193711102,790.7243784384016,827.9428835483037,75,146,49,98,2,2,22
0,0.4863889548845166,2446.543249427557,42,57,24,76,9,6,61
3.564628266138556,1907.8272215442755,367.1240969375832,189,45,26,12,2,12,33
70.13181183357696,144.4059289745469,889.7070407891872,199,125,4,24,6,10,43
72.49972592272668,5.080162441064972,2606.0755980520707,24,102,13,62,20,19,11
20.382955319778432,0,2393.306581893298,222,181,34,47,13,9,5
0,5.964033873674924,2614.5312979943433,182,224,19,90,19,6,45
19.036094381363053,0,2649.131465004032,131,97,34,81,13,18,49
0,0,2637.2599558658835,171,139,23,58,10,13,52
0,0,2603.340392019748,238,87,41,63,16,8,78
267.50469206373054,72.28290625130691,1276.2695343118362,5,170,5,41,14,2,38
7.897516132802812,2188.613929859107,87.17120646772858,77,154,50,37,10,19,67
314.29826758967755,0,2153.9295115970062,11,38,40,26,9,1,86
17.440548806745344,804.0967245683902,369.12952912281435,99,35,18,15,11,10,74
0,3.167568707125447,2604.4616900561264,145,54,17,34,13,12,72
94.34937392726184,0,2500.10957668187,104,20,30,68,11,4,24
0.02497980840312955,2018.4817905363452,16.516438766620944,138,132,31,20,1,18,59
